,station_name,lat,lng,start_count,end_count
141,W 50 St & 10 Ave,40.765,-73.992,746.0,659.0
142,Hanson Pl & Ashland Pl,40.685,-73.978,746.0,757.0
143,10 Ave & W 14 St,40.742,-74.008,741.0,809.0
144,11 Ave & W 27 St,40.751,-74.005,740.0,749.0
145,1 Ave & E 30 St,40.741,-73.975,739.0,741.0
146,W 13 St & 7 Ave,40.738,-74.0,737.0,748.0
147,W 59 St & 10 Ave,40.771,-73.988,736.0,735.0
148,W 67 St & Broadway,40.775,-73.983,735.0,746.0
149,W 54 St & 9 Ave,40.766,-73.987,734.0,715.0
150,W 47 St & 10 Ave,40.763,-73.993,733.0,730.0
151,W 70 St & Amsterdam Ave,40.777,-73.983,720.0,652.0
152,North Moore St & Greenwich St,40.72,-74.01,719.0,742.0
153,E 19 St & 3 Ave,40.736,-73.985,716.0,727.0
154,5 Ave & E 87 St,40.782,-73.96,716.0,715.0
155,Sullivan St & Washington Sq,40.73,-73.999,709.0,699.0
156,Bleecker St & Crosby St,40.726,-73.995,708.0,707.0
157,1 Ave & E 39 St,40.747,-73.971,707.0,700.0
158,Broadway & W 51 St,40.762,-73.983,706.0,691.0
159,FDR Drive & E 35 St,40.744,-73.971,704.0,703.0
160,St Marks Pl & 1 Ave,40.728,-73.986,704.0,692.0
161,Howard St & Lafayette St,40.719,-74.0,703.0,707.0
162,W 42 St & 8 Ave,40.758,-73.991,700.0,704.0
163,E 13 St & Avenue A,40.73,-73.981,700.0,690.0
164,E 10 St & 2 Ave,40.73,-73.987,698.0,757.0
165,Central Park North & Adam Clayton Powell Blvd,40.799,-73.956,697.0,693.0
166,Thompson St & Bleecker St,40.728,-74.0,692.0,701.0
167,Vesey St & Church St,40.712,-74.01,690.0,686.0
168,W 11 St & 6 Ave,40.735,-73.998,689.0,679.0
169,6 Ave & W 45 St,40.757,-73.983,689.0,632.0
170,W 37 St & 10 Ave,40.757,-73.998,689.0,683.0
171,Fulton St & Adams St,40.692,-73.989,688.0,681.0
172,W 53 St & 10 Ave,40.767,-73.991,686.0,693.0
173,W 17 St & 8 Ave,40.742,-74.001,685.0,656.0
174,Greenwich St & W Houston St,40.729,-74.009,684.0,661.0
175,E 44 St & 2 Ave,40.751,-73.971,684.0,596.0
176,LaGuardia Pl & W 3 St,40.729,-73.998,683.0,706.0
177,W 55 St & 6 Ave,40.763,-73.978,683.0,664.0
178,S 5 Pl & S 5 St,40.71,-73.961,681.0,721.0
179,Mott St & Prince St,40.723,-73.995,679.0,680.0
180,Riverside Blvd & W 67 St,40.778,-73.989,677.0,657.0
181,Kent Ave & N 7 St,40.72,-73.962,677.0,679.0
182,Greenwich Ave & Charles St,40.735,-74.0,671.0,674.0
183,E 14 St & 1 Ave,40.731,-73.983,671.0,689.0
184,E 14 St & Avenue B,40.729,-73.978,668.0,655.0
185,W 49 St & 8 Ave,40.762,-73.988,668.0,636.0
186,E 13 St & 2 Ave,40.732,-73.985,667.0,692.0
187,E 22 St & 2 Ave,40.737,-73.981,665.0,675.0
188,W 51 St & 6 Ave,40.761,-73.98,664.0,667.0
189,W 37 St & 5 Ave,40.75,-73.983,663.0,611.0
190,West Drive & Prospect Park West,40.661,-73.979,662.0,665.0
191,E 7 St & Ave B,40.725,-73.981,661.0,629.0
192,E 53 St & Lexington Ave,40.758,-73.971,660.0,656.0
193,E 4 St & 2 Ave,40.726,-73.99,660.0,666.0
194,9 Ave & W 18 St,40.743,-74.004,659.0,698.0
195,6 Ave & Broome St,40.724,-74.005,659.0,658.0
196,Washington Pl & 6 Ave,40.732,-74.0,656.0,675.0
